"Date","Year","Month","DoY","site","veg","region","DewType","DewDur","z_GPP_NT","z_GPP_DT","LE","H","Rn","Ta","Tc","RH","VPD","WS","SWC"
"2019/4/1",2019,4,91,"OAES","Grasslands","Drylands","nodew",0,-0.784737943,-1.25089258,75.24078644,138.7564605,343.7275,9.28775,19.195,43.48,7.051232265,3.074555116,27.73775362
"2019/4/2",2019,4,92,"OAES","Grasslands","Drylands","nodew",0,-0.797919561,-1.036901283,92.63752218,139.485766,369.3541667,16.035,22.63458333,37.73875,12.73614887,6.934060719,27.11134058
"2019/4/3",2019,4,93,"OAES","Grasslands","Drylands","nodew",0,-0.936578658,-1.035929187,46.52405079,87.10723895,237.97375,15.50929167,19.55,60.49875,7.041306594,9.345846409,26.24795139
"2019/4/5",2019,4,95,"OAES","Grasslands","Drylands","dew",2,1.143814253,-0.573931695,86.56661812,105.5025823,320.7366667,18.11675,22.09875,68.98083333,7.589660933,5.812650908,30.39427083
"2019/4/8",2019,4,98,"OAES","Grasslands","Drylands","nodew",0,-0.836542854,-0.982424942,154.6047657,136.4825284,388.1091667,21.87191667,26.10833333,41.41916667,17.45793386,2.560779884,29.47597222
"2019/4/10",2019,4,100,"OAES","Grasslands","Drylands","nodew",0,-0.148823603,-0.842605015,147.4132571,42.34153767,292.2645833,24.20783333,25.69,44.20208333,18.10656023,9.348914683,NA
"2019/4/11",2019,4,101,"OAES","Grasslands","Drylands","nodew",0,-1.054964477,-0.035655078,86.84928505,186.8903382,409.0020833,7.642958333,17.28041667,36.2925,7.110814917,9.838230827,NA
"2019/4/12",2019,4,102,"OAES","Grasslands","Drylands","nodew",0,-0.431664948,-0.161479181,98.05967767,190.0594572,310.45625,9.419541667,18.79666667,45.54916667,7.036414151,3.960055057,NA
"2019/4/14",2019,4,104,"OAES","Grasslands","Drylands","nodew",0,-0.596734845,0.367841938,NA,NA,411.9204167,12.193875,20.84958333,44.57,8.516657433,5.369534999,NA
"2019/4/15",2019,4,105,"OAES","Grasslands","Drylands","nodew",0,0.058698595,0.239752598,NA,NA,402.95625,19.720875,25.89708333,53.45916667,12.16179272,8.504940659,NA
"2019/4/16",2019,4,106,"OAES","Grasslands","Drylands","nodew",0,-0.243243132,-0.267842416,NA,NA,191.50625,18.08029167,21.39833333,72.8175,5.86614129,9.060635122,NA
"2019/4/19",2019,4,109,"OAES","Grasslands","Drylands","nodew",0,-0.022502915,0.956245064,NA,NA,416.7008333,14.48791667,24.62416667,39.46125,10.89315413,6.802515966,NA
"2019/4/20",2019,4,110,"OAES","Grasslands","Drylands","nodew",0,-0.205755702,0.687885308,NA,NA,423.6975,20.90958333,29.02875,42.16,16.04092951,7.24853311,NA
"2019/4/21",2019,4,111,"OAES","Grasslands","Drylands","nodew",0,0.89590715,0.69709076,NA,NA,356.43375,22.45820833,28.94833333,55.40875,13.24238328,9.262987926,NA
