site,region,mean_dew_fre,dew_fre_bin
ABBY,Non-drylands,62.78509564121676,"[60,70)"
BART,Non-drylands,10.75535160230569,"[10,20)"
BLAN,Non-drylands,7.389756863808331,"[0,10)"
BONA,Drylands,42.477091883790976,"[40,50)"
CLBJ,Drylands,16.396713235376854,"[10,20)"
DCFS,Drylands,29.458381583554804,"[20,30)"
DEJU,Drylands,34.888672701931405,"[30,40)"
DELA,Non-drylands,31.946540153286964,"[30,40)"
GRSM,Non-drylands,2.1680216802168024,"[0,10)"
HARV,Non-drylands,10.891739565073673,"[10,20)"
JERC,Non-drylands,20.358206566109562,"[20,30)"
JORN,Drylands,3.884453063836202,"[0,10)"
KONA,Drylands,13.091812820103968,"[10,20)"
KONZ,Drylands,17.872268108117165,"[10,20)"
LENO,Non-drylands,44.96887061673647,"[40,50)"
MLBS,Non-drylands,5.086470833697872,"[0,10)"
MOAB,Drylands,9.186027619084637,"[0,10)"
NIWO,Drylands,5.727944476915251,"[0,10)"
NOGP,Drylands,42.85319131947191,"[40,50)"
OAES,Drylands,9.539792613890196,"[0,10)"
ONAQ,Drylands,1.2243760185264603,"[0,10)"
ORNL,Non-drylands,12.84012586487722,"[10,20)"
OSBS,Non-drylands,32.26533969572711,"[30,40)"
RMNP,Drylands,1.1675283210405054,"[0,10)"
SCBI,Non-drylands,1.8208080121877057,"[0,10)"
SERC,Non-drylands,11.120670625805648,"[10,20)"
SJER,Drylands,0.09345794392523363,"[0,10)"
STER,Non-drylands,28.961139942373702,"[20,30)"
TALL,Non-drylands,0.995608067788519,"[0,10)"
TEAK,Drylands,6.058516318336219,"[0,10)"
TREE,Non-drylands,21.561201698968652,"[20,30)"
UKFS,Non-drylands,4.47559548788369,"[0,10)"
UNDE,Non-drylands,6.656798027724215,"[0,10)"
WOOD,Drylands,17.820331267128626,"[10,20)"
WREF,Non-drylands,2.3151852305712635,"[0,10)"
YELL,Drylands,9.452043741921901,"[0,10)"
