site,veg,mean_dew_dur,dew_dur_bin
ABBY,Forests,5.092124493950895,"[5,6]"
BART,Forests,3.4052579365079367,"[3,4)"
BLAN,Forests,2.689814814814815,"[2,3)"
BONA,Forests,4.057300823359647,"[4,5)"
CLBJ,Grasslands,2.6833333333333336,"[2,3)"
DCFS,Grasslands,3.488027927106874,"[3,4)"
DEJU,Forests,4.907373197328948,"[4,5)"
DELA,Forests,2.4503312980909495,"[2,3)"
GRSM,Forests,2.53125,"[2,3)"
HARV,Forests,2.3117149758454105,"[2,3)"
JERC,Forests,2.047463184963185,"[2,3)"
JORN,Grasslands,3.0418320105820107,"[3,4)"
KONA,Grasslands,3.118038617886179,"[3,4)"
KONZ,Grasslands,1.9777777777777779,"[1,2)"
LENO,Forests,3.2872797286449695,"[3,4)"
MLBS,Forests,2.072159090909091,"[2,3)"
MOAB,Grasslands,3.378324915824916,"[3,4)"
NIWO,Forests,2.3897907647907646,"[2,3)"
NOGP,Grasslands,4.120116076733724,"[4,5)"
OAES,Grasslands,1.34375,"[1,2)"
ONAQ,Grasslands,2.8333333333333335,"[2,3)"
ORNL,Forests,1.6686507936507937,"[1,2)"
OSBS,Forests,2.61426943760824,"[2,3)"
RMNP,Forests,0.7833333333333333,"[0,1)"
SCBI,Forests,0.9375,"[0,1)"
SERC,Forests,2.7799019607843136,"[2,3)"
SJER,Grasslands,1,"[1,2)"
STER,Forests,3.627951045669427,"[3,4)"
TALL,Forests,3.5833333333333335,"[3,4)"
TEAK,Forests,2.2,"[2,3)"
TREE,Forests,2.9002480158730157,"[2,3)"
UKFS,Forests,1.6833333333333333,"[1,2)"
UNDE,Forests,2.35,"[2,3)"
WOOD,Grasslands,3.6974537037037036,"[3,4)"
WREF,Forests,2.9886363636363638,"[2,3)"
YELL,Forests,2.6013888888888888,"[2,3)"
