Site_ID,Name,IGBP,Veg,Region,Mean_pre,Mean_temp,Elevation,Latitude,Longitude,Start_year,End_year
US-xAB,ABBY,ENF,Forests,Non-drylands,2450.59,10,363,45.7624,-122.3303,2017,2022
US-xAE,OAES,GRA,Grasslands,Drylands,778.85,15.5,516,35.4106,-99.0588,2017,2022
US-xBL,BLAN,DBF,Forests,Non-drylands,982.55,12.1,183,39.0603,-78.0716,2017,2022
US-xBN,BONA,ENF,Forests,Drylands,275,-2,263,65.154,-147.5026,2017,2022
US-xBR,BART,DBF,Forests,Non-drylands,1246,5.6,232,44.0639,-71.2873,2017,2022
US-xCL,CLBJ,GRA,Grasslands,Drylands,925.61,17.5,259,33.4012,-97.57,2017,2022
US-xDC,DCFS,GRA,Grasslands,Drylands,489.74,4.9,559,47.1617,-99.1066,2017,2022
US-xDJ,DEJU,ENF,Forests,Drylands,300,-2,529,63.8811,-145.7514,2017,2022
US-xDL,DELA,MF,Forests,Non-drylands,1372,17.6,22,32.5417,-87.8039,2017,2022
US-xGR,GRSM,DBF,Forests,Non-drylands,1375,13.1,579,35.689,-83.5019,2017,2022
US-xHA,HARV,DBF,Forests,Non-drylands,1071,6.62,351,42.5369,-72.1727,2017,2022
US-xJE,JERC,ENF,Forests,Non-drylands,1307.97,19.2,44,31.1948,-84.4686,2017,2022
US-xJR,JORN,OSH,Grasslands,Drylands,271.33,15.7,1329,32.5907,-106.8425,2017,2022
US-xKA,KONA,GRA,Grasslands,Drylands,850.63,12.7,1329,39.1104,-96.6129,2017,2022
US-xKZ,KONZ,GRA,Grasslands,Drylands,870.38,12.4,381,39.1008,-96.5631,2017,2022
US-xLE,LENO,DBF,Forests,Non-drylands,1386.24,18.1,20,31.8539,-88.1612,2017,2022
US-xMB,MOAB,OSH,Grasslands,Drylands,319.46,10.1,1767,38.2483,-109.3883,2017,2022
US-xML,MLBS,DBF,Forests,Non-drylands,1227.82,8.8,1126,37.3783,-80.5248,2017,2022
US-xNG,NOGP,GRA,Grasslands,Drylands,456.51,5.9,578,46.7697,-100.9154,2017,2022
US-xNQ,ONAQ,OSH,Grasslands,Drylands,288.31,9,1685,40.1776,-112.4524,2017,2022
US-xNW,NIWO,ENF,Forests,Drylands,1004.54,0.3,3513,40.0543,-105.5824,2017,2022
US-xRM,RMNP,ENF,Forests,Drylands,730.59,2.9,2743,40.2759,-105.5459,2017,2022
US-xRN,ORNL,DBF,Forests,Non-drylands,1340.32,14.4,334,35.9641,-84.2826,2017,2022
US-xSB,OSBS,ENF,Forests,Non-drylands,1302.09,20.9,45,29.6893,-81.9934,2017,2022
US-xSC,SCBI,DBF,Forests,Non-drylands,1125.5,11.6,361,38.8929,-78.1395,2016,2022
US-xSE,SERC,DBF,Forests,Non-drylands,1074.65,13.6,15,38.8901,-76.56,2017,2022
US-xSJ,SJER,SAV,Grasslands,Drylands,539.62,16.4,368,37.1088,-119.7323,2018,2022
US-xST,STER,DBF,Forests,Non-drylands,797.56,4.8,481,45.5089,-89.5864,2017,2022
US-xTA,TALL,ENF,Forests,Non-drylands,1382.68,17.2,135,32.9505,-87.3933,2017,2022
US-xTE,TEAK,ENF,Forests,Drylands,1222.5,8,2147,37.0058,-119.006,2018,2022
US-xTR,TREE,DBF,Forests,Non-drylands,797.56,4.8,472,45.4937,-89.5857,2017,2022
US-xUK,UKFS,DBF,Forests,Non-drylands,990.63,12.7,335,39.0404,-95.1921,2017,2022
US-xUN,UNDE,MF,Forests,Non-drylands,802.3,4.3,518,46.2339,-89.5373,2017,2022
US-xWD,WOOD,GRA,Grasslands,Drylands,493.76,4.9,579,47.1282,-99.2414,2017,2022
US-xWR,WREF,ENF,Forests,Non-drylands,2225.01,9.2,407,45.8205,-121.9519,2018,2022
US-xYE,YELL,ENF,Forests,Drylands,493.44,3.4,2116,44.9535,-110.5391,2018,2022
